Realm,Genus,Species,data_gatherer,habitat_data_gatherer,Kingdom,Phylum,Class,Order,Family,maximum_body_size_SVL_HBL_cm_,Source_for_maximum_body_size,notes_on_body_size_e_g_type_of_metric_,Trophic_position,Source_logic_for_trophic_position,migratory_,source_logic_for_migration_info,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_,logic_source_for_dispersal_type,cold_season_dormancy_,source_logic_for_cold_season_dormancy,notes_for_cold_season_dormancy,hot_season_dormancy_,source_logic_for_hot_season_dormancy,notes_for_hot_season_dormancy,highland_specialist,source_logic_for_highland_specialist,coastal_or_oceanic,notes_logic,coastal_or_oceanic_source,upper_depth_limit,lower_depth_limit,usual_range,depth_distribution_source,lower_elevation_limit_meters,upper_elevation_limit_meters,elevational_range_source,pelagic_habitat_for_marine_species,source_logic_for_pelagic_habitat,genus_species,limit_type,notes,newly_added
Terrestrial,Cophixalus,aenigma,Micky,Sarah,Animalia,Chordata,Amphibia,Anura,Microhylidae,2.2,"Vanderduys, E. (2013). Field Guide of Frogs from Queensland. CSIRO Publishing, Clayton.",NA,insectivore,"Williams, Y. M., Williams, S. E., Alford, R. A., Waycott, M., & Johnson, C. N. (2006). Niche breadth and geographical range: ecological compensation for geographical rarity in rainforest frogs. Biology Letters, 2(4), 532-535.",Non-migratory,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,frog,No,"no info - based on climate (islands, australia)",,No,no info - based on climate,,non-highland specialist,Amphibians Of The World,NA,terrestrial,NA,NA,NA,NA,terrestrial,750,1300,Amphibians Of The World,NA,terrestrial,Cophixalus_aenigma,max,NA,NA
Terrestrial,Cophixalus,bombiens,Micky,Sarah,Animalia,Chordata,Amphibia,Anura,Microhylidae,1.7,"Vanderduys, E. (2013). Field Guide of Frogs from Queensland. CSIRO Publishing, Clayton.",NA,insectivore,"Williams, Y. M., Williams, S. E., Alford, R. A., Waycott, M., & Johnson, C. N. (2006). Niche breadth and geographical range: ecological compensation for geographical rarity in rainforest frogs. Biology Letters, 2(4), 532-535.",Non-migratory,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,frog,No,"no info - based on climate (islands, australia)",,No,no info - based on climate,,non-highland specialist,Amphibians Of The World,NA,terrestrial,NA,NA,NA,NA,terrestrial,900,1300,Amphibians Of The World,NA,terrestrial,Cophixalus_bombiens,max,NA,NA
Terrestrial,Cophixalus,exiguus,Micky,Sarah,Animalia,Chordata,Amphibia,Anura,Microhylidae,1.9,"Vanderduys, E. (2013). Field Guide of Frogs from Queensland. CSIRO Publishing, Clayton.",NA,insectivore,"Williams, Y. M., Williams, S. E., Alford, R. A., Waycott, M., & Johnson, C. N. (2006). Niche breadth and geographical range: ecological compensation for geographical rarity in rainforest frogs. Biology Letters, 2(4), 532-535.",Non-migratory,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,frog,No,"no info - based on climate (islands, australia)",,No,no info - based on climate,,non-highland specialist,Amphibians Of The World,NA,terrestrial,NA,NA,NA,NA,terrestrial,555,2000,Amphibians Of The World,NA,terrestrial,Cophixalus_exiguus,max,NA,NA
Terrestrial,Cophixalus,hosmeri,Micky,Sarah,Animalia,Chordata,Amphibia,Anura,Microhylidae,1.6,"Vanderduys, E. (2013). Field Guide of Frogs from Queensland. CSIRO Publishing, Clayton.",NA,insectivore,"Williams, Y. M., Williams, S. E., Alford, R. A., Waycott, M., & Johnson, C. N. (2006). Niche breadth and geographical range: ecological compensation for geographical rarity in rainforest frogs. Biology Letters, 2(4), 532-535.",Non-migratory,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,frog,No,"no info - based on climate (islands, australia)",,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,800,1370,IUCN,NA,terrestrial,Cophixalus_hosmeri,max,NA,NA
Terrestrial,Cophixalus,mcdonaldi,Micky,Sarah,Animalia,Chordata,Amphibia,Anura,Microhylidae,2.6,"Vanderduys, E. (2013). Field Guide of Frogs from Queensland. CSIRO Publishing, Clayton.",NA,insectivore,"Williams, Y. M., Williams, S. E., Alford, R. A., Waycott, M., & Johnson, C. N. (2006). Biology Letters, 2(4), 532-535.",Non-migratory,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,frog,No,"no info - based on climate (islands, australia)",,No,no info - based on climate,,non-highland specialist,Amphibians Of The World,NA,terrestrial,NA,NA,NA,NA,terrestrial,900,1200,Amphibians Of The World,NA,terrestrial,Cophixalus_mcdonaldi,max,NA,NA
Terrestrial,Cophixalus,neglectus,Micky,Sarah,Animalia,Chordata,Amphibia,Anura,Microhylidae,2.9,"Vanderduys, E. (2013). Field Guide of Frogs from Queensland. CSIRO Publishing, Clayton.",NA,insectivore,"Williams, Y. M., Williams, S. E., Alford, R. A., Waycott, M., & Johnson, C. N. (2006). Niche breadth and geographical range: ecological compensation for geographical rarity in rainforest frogs. Biology Letters, 2(4), 532-535.",Non-migratory,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,frog,No,"no info - based on climate (islands, australia)",,No,no info - based on climate,,non-highland specialist,Amphibians Of The World,NA,terrestrial,NA,NA,NA,NA,terrestrial,900,1500,Amphibians Of The World,NA,terrestrial,Cophixalus_neglectus,max,NA,NA
Terrestrial,Hylarana,erythraea,Micky,Sarah,Animalia,Chordata,Amphibia,Anura,Ranidae,7.5,"Brown, W. C. and Alcala, A. C. (1970). ''Population ecology of the frog Rana erythraea in Southern Negros, Philippines.'' Copeia, 1970, 611-622.",max adult SVL,insectivore,"Savini, C. O. K., Chuang, M. F., & Ishida, C. (2004). INTERNATIONAL FIELD BIOLOGY COURSE 2004. ",Non-migratory,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,"Inger, R. F., Voris, H. K., & Voris, H. H. (1974). Biochemical Genetics, 12(2), 121-145.",walking,frog,No,no info - based on climate (se asia),,No,no info - based on climate,,,,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,1200,IUCN,NA,terrestrial,Hylarana_erythraea,max,NA,NA
Terrestrial,Kaloula,kalingensis,Micky,Sarah,Animalia,Chordata,Amphibia,Anura,Microhylidae,3.65,"Taylor, E. H. (1922). ''Additions to the herpetological fauna of the Philippine Islands, I.'' Phillippine Journal of Science, 21, 161-206.",male SVL,insectivore,"Gonzalez, J. C. T., de Guia, A. P. O., Dimalibot, J. C., Pantua, K. V., Gustilo, W. O., & Bantayan, N. C. (2020) Biodiversity Data Journal, 8. Gonzalez, Juan C",Non-migratory,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,frog,No,no info - based on climate (se asia),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,50,1600,IUCN,NA,terrestrial,Kaloula_kalingensis,max,NA,NA
Terrestrial,Limnonectes,woodworthi,Micky,Sarah,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,6.95,"Siler, C. D., McVay J. D., Diesmos A. C., & Brown R. M. (2009). A new species of fanged frog, genus Limnonectes (Amphibia: Anura: Dicroglossidae) from southeast Mindanao Island, Philippines. Herpetologica. 65, 105-114.",max adult SVL,insectivore,"Gonzalez, J. C. T., de Guia, A. P. O., Dimalibot, J. C., Pantua, K. V., Gustilo, W. O., & Bantayan, N. C. (2020) Biodiversity Data Journal, 8. Gonzalez, Juan C",Non-migratory,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,frog,No,no info - based on climate (se asia),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,600,IUCN,NA,terrestrial,Limnonectes_woodworthi,max,NA,NA
Terrestrial,Occidozyga,laevis,Micky,Sarah,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,4.8,"Inger, R. F. and Stuebing, R. B. (2005). A Field Guide to the Frogs of Borneo, 2nd edition. Natural History Publications (Borneo), Kota Kinabalu.",NA,insectivore,"Gonzalez, J. C. T., de Guia, A. P. O., Dimalibot, J. C., Pantua, K. V., Gustilo, W. O., & Bantayan, N. C. (2020) Biodiversity Data Journal, 8. Gonzalez, Juan C",Non-migratory,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,frog,No,no info - based on climate (se asia),,No,no info - based on climate,,,,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Occidozyga_laevis,max,NA,NA
Terrestrial,Philautus,surdus,Micky,Sarah,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,NA,NA,NA,carnivore,no info - anura listed as carnviores on EOL,Non-migratory,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,frog,No,no info - based on climate (se asia),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2000,IUCN,NA,terrestrial,Philautus_surdus,max,NA,NA
Terrestrial,Platymantis,banahao,Micky,Sarah,Animalia,Chordata,Amphibia,Anura,Ceratobatrachidae,3.63,"Siler, C. D., Alcala A. C., Diesmos A. C., & Brown R. M. (2009). A new species of limestone-forest frog, genus Platymantis (Amphibia: Anura: Ceratobatrachidae) from eastern Samar Island, Philippines. Herpetologica. 65, 92-104.",max adult SVL,insectivore,no info - based on congeners,Non-migratory,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,frog,No,no info - based on climate (se asia),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,700,1700,IUCN,NA,terrestrial,Platymantis_banahao,max,NA,NA
Terrestrial,Platymantis,corrugatus,Micky,Sarah,Animalia,Chordata,Amphibia,Anura,Ceratobatrachidae,3.39,"Siler, C. D., Alcala A. C., Diesmos A. C., & Brown R. M. (2009). A new species of limestone-forest frog, genus Platymantis (Amphibia: Anura: Ceratobatrachidae) from eastern Samar Island, Philippines. Herpetologica. 65, 92-104.",max adult SVL,insectivore,"Gonzalez, J. C. T., de Guia, A. P. O., Dimalibot, J. C., Pantua, K. V., Gustilo, W. O., & Bantayan, N. C. (2020) Biodiversity Data Journal, 8. Gonzalez, Juan C",Non-migratory,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,frog,No,no info - based on climate (se asia),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1300,IUCN,NA,terrestrial,Platymantis_corrugatus,max,NA,NA
Terrestrial,Platymantis,dorsalis,Micky,Sarah,Animalia,Chordata,Amphibia,Anura,Ceratobatrachidae,3.54,"Siler, C. D., Alcala A. C., Diesmos A. C., & Brown R. M. (2009). A new species of limestone-forest frog, genus Platymantis (Amphibia: Anura: Ceratobatrachidae) from eastern Samar Island, Philippines. Herpetologica. 65, 92-104.",max adult SVL,insectivore,"Gonzalez, J. C. T., de Guia, A. P. O., Dimalibot, J. C., Pantua, K. V., Gustilo, W. O., & Bantayan, N. C. (2020) Biodiversity Data Journal, 8. Gonzalez, Juan C",Non-migratory,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,frog,No,no info - based on climate (se asia),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1500,IUCN,NA,terrestrial,Platymantis_dorsalis,max,NA,NA
Terrestrial,Platymantis,luzonensis,Micky,Sarah,Animalia,Chordata,Amphibia,Anura,Ceratobatrachidae,3.25,"Brown, R. M., & Richards S. J. (2008). Two new frogs of the genus Platymantis (Anura: Ceratobatrachidae) from the Isabel Island group, Solomon Islands. Zootaxa. 1888, 47-68.",NA,insectivore,"Gonzalez, J. C. T., de Guia, A. P. O., Dimalibot, J. C., Pantua, K. V., Gustilo, W. O., & Bantayan, N. C. (2020) Biodiversity Data Journal, 8. Gonzalez, Juan C",Non-migratory,frog migrations are not far enough to affect accuracy of realized range/experienced climate,0-1,no info - guess since frogs are highly dependent on water availability,walking,frog,No,no info - based on climate (se asia),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1200,IUCN,NA,terrestrial,Platymantis_luzonensis,max,NA,NA
Terrestrial,Cyrtodactylus,philippinicus,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,9.4,Meiri 2008,max adult SVL,insectivore,"Oaks, J.R., Siler, C.D. and Brown, R.M. (2019), The comparative biogeography of Philippine geckos challenges predictions from a paradigm of climate‐driven vicariant diversification across an island archipelago. Evolution, 73: 1151-1167. https://doi.org/10.1111/evo.13754",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate (se asia),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1200,IUCN,NA,terrestrial,Cyrtodactylus_philippinicus,max,NA,NA
Terrestrial,Lipinia,pulchella,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,5,Meiri 2008,max adult SVL,insectivore,guess based on others in genus,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate (se asia),,No,no info - based on climate,,non-highland specialist,http://www.iucnredlist.org/details/169869/0,NA,terrestrial,NA,NA,NA,NA,terrestrial,250,1100,IUCN,NA,terrestrial,Lipinia_pulchella,max,NA,NA
Terrestrial,Heloderma,suspectum,Nikki,Sarah,Animalia,Chordata,Lepidosauria,Squamata,Helodermatidae,26,Davis et al. (2009) Physiological and Biochemical Zoology 82(6): 739-748,max adult SVL,carnivore,Jones (1983) Herpetologica 247-253,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Jones, K. B. (1983). Movement patterns and foraging ecology of Gila monsters (Heloderma suspectum Cope) in northwestern Arizona. Herpetologica, 247-253.",walking,Squamate walking tetrapod,Yes,"Gienger, C. M. (2004). Natural history of the Gila monster in Nevada (Heloderma suspectum).",,No,"Wright, C. (2014). Examination of the State-Dependency and Consequences of Foraging in a Low-Energy System, the Gila Monster, Heloderma Suspectum (Doctoral dissertation, Arizona State University).",actively forage during hot dry season,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1545,NatureServe Explorer,NA,terrestrial,Heloderma_suspectum,max,NA,NA
Terrestrial,Liolaemus,dorbignyi,Nikki,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,9.83,Quinteros et al. (2008) Zootaxa 1717(1): 51-67,max adult SVL,herbivore,Valdecantos et al. (2012) Copeia 2012(2): 203-210,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,3900,4350,IUCN,NA,terrestrial,Liolaemus_dorbignyi,"max, min",NA,NA
